SampleID,pub_ID,author,year,sp_name,clone.strain,polymer,size_um_mean,size_um_SD,size_nm_mean,size_nm_SD,shape,modified,mod_type,surface_charge,company,MP_comments,age_d,generation,food_present,temperature,pH,DOM_added,DOM_conditioned,DOM_cond_dur_h,DOM_conc_mg_L,DOM_type,DOM_comment,DOM_type_grouped,exp_time_h,exp_time_d,conc_p_ml-1,conc_mg_ml-1,conc_mg_l-1,c_n_replicates,c_ind_per_replicate,c_n_individuals,c_mean,c_SD,c_SE,c_immobile,c_mobile,t_n_replicates,t_ind_per_replicate,t_n_individuals,t_mean,t_SD,t_SE,t_immobile,t_mobile,data_comment
15,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.46,no,yes,504,21.75,river_water_upstream,,stream water,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0.096,NA,NA,NA,NA,"Data extracted from Fig. S7 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
16,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,13.3,river_water_downstream,,wastewater,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.4,NA,NA,NA,NA,"Data extracted from Fig. S7 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
17,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,13.3,river_water_downstream,,wastewater,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.4,NA,NA,NA,NA,"Data extracted from Fig. S7 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
18,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,13.3,river_water_downstream,,wastewater,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.4,NA,NA,NA,NA,"Data extracted from Fig. S7 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
19,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,13.3,river_water_downstream,,wastewater,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.93,NA,NA,NA,NA,"Data extracted from Fig. S7 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
20,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,13.3,river_water_downstream,,wastewater,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0.27,NA,NA,NA,NA,"Data extracted from Fig. S7 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
21,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.59,no,yes,336,21.75,river_water_downstream,,wastewater,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.198,NA,NA,NA,NA,"Data extracted from Fig. S7 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
22,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.59,no,yes,336,21.75,river_water_downstream,,wastewater,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.134,NA,NA,NA,NA,"Data extracted from Fig. S7 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
23,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.59,no,yes,336,21.75,river_water_downstream,,wastewater,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S7 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
24,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.59,no,yes,336,21.75,river_water_downstream,,wastewater,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S7 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
25,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.59,no,yes,336,21.75,river_water_downstream,,wastewater,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S7 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
26,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,504,21.75,river_water_downstream,,wastewater,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.2,NA,NA,NA,NA,"Data extracted from Fig. S7 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
27,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,504,21.75,river_water_downstream,,wastewater,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.136,NA,NA,NA,NA,"Data extracted from Fig. S7 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
28,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,504,21.75,river_water_downstream,,wastewater,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S7 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
29,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,504,21.75,river_water_downstream,,wastewater,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S7 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
30,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,504,21.75,river_water_downstream,,wastewater,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S7 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
31,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,24.17,wastewater_effluent,,wastewater,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.2,NA,NA,NA,NA,"Data extracted from Fig. S8 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
32,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,24.17,wastewater_effluent,,wastewater,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.4,NA,NA,NA,NA,"Data extracted from Fig. S8 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
33,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,24.17,wastewater_effluent,,wastewater,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.33,NA,NA,NA,NA,"Data extracted from Fig. S8 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
34,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,24.17,wastewater_effluent,,wastewater,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.136,NA,NA,NA,NA,"Data extracted from Fig. S8 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
35,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.54,no,yes,168,24.17,wastewater_effluent,,wastewater,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0.27,NA,NA,NA,NA,"Data extracted from Fig. S8 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
36,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,336,24.17,wastewater_effluent,,wastewater,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.064,NA,NA,NA,NA,"Data extracted from Fig. S8 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
37,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,336,24.17,wastewater_effluent,,wastewater,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.131,NA,NA,NA,NA,"Data extracted from Fig. S8 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
38,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,336,24.17,wastewater_effluent,,wastewater,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.136,NA,NA,NA,NA,"Data extracted from Fig. S8 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
39,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,336,24.17,wastewater_effluent,,wastewater,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S8 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
40,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,336,24.17,wastewater_effluent,,wastewater,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0.069,NA,NA,NA,NA,"Data extracted from Fig. S8 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
41,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,504,24.17,wastewater_effluent,,wastewater,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.2,NA,NA,NA,NA,"Data extracted from Fig. S8 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
42,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,504,24.17,wastewater_effluent,,wastewater,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.2,NA,NA,NA,NA,"Data extracted from Fig. S8 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
43,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,504,24.17,wastewater_effluent,,wastewater,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.1,NA,NA,NA,NA,"Data extracted from Fig. S8 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
44,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,504,24.17,wastewater_effluent,,wastewater,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.269,NA,NA,NA,NA,"Data extracted from Fig. S8 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
45,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.76,no,yes,504,24.17,wastewater_effluent,,wastewater,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S8 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
46,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.29,no,yes,168,329.9,wastewater_influent,,stream water,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.33,NA,NA,NA,NA,"Data extracted from Fig. S8 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
47,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.29,no,yes,168,329.9,wastewater_influent,,stream water,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.33,NA,NA,NA,NA,"Data extracted from Fig. S8 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
48,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.29,no,yes,168,329.9,wastewater_influent,,stream water,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.135,NA,NA,NA,NA,"Data extracted from Fig. S8 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
